,DAY,DEPARTURE_TIME,FLIGHT_NUMBER,DESTINATION_AIRPORT,ORIGIN_AIRPORT,DAY_OF_WEEK,TAXI_OUT
0,1,2354.0,98,SEA,ANC,4,21.0
1,1,2.0,2336,PBI,LAX,4,12.0
2,1,18.0,840,CLT,SFO,4,16.0
3,1,15.0,258,MIA,LAX,4,15.0
4,1,24.0,135,ANC,SEA,4,11.0
5,1,20.0,806,MSP,SFO,4,18.0
6,1,19.0,612,MSP,LAS,4,11.0
7,1,44.0,2013,CLT,LAX,4,13.0
8,1,19.0,1112,DFW,SFO,4,17.0
9,1,33.0,1173,ATL,LAS,4,12.0
10,1,24.0,2336,ATL,DEN,4,12.0
11,1,27.0,1674,MIA,LAS,4,21.0
12,1,35.0,1434,MSP,LAX,4,18.0
13,1,34.0,2324,ATL,SLC,4,18.0
14,1,39.0,2440,MSP,SEA,4,28.0
15,1,41.0,108,SEA,ANC,4,17.0
16,1,31.0,1560,SEA,ANC,4,25.0
17,1,42.0,1197,IAH,SFO,4,11.0
18,1,46.0,122,PDX,ANC,4,11.0
19,1,45.0,1670,MSP,PDX,4,9.0
20,1,120.0,520,MCI,LAS,4,11.0
21,1,52.0,371,MIA,SEA,4,30.0
22,1,102.0,214,DFW,LAS,4,13.0
23,1,103.0,115,MIA,LAX,4,14.0
24,1,102.0,1450,MSP,LAS,4,11.0
25,1,112.0,1545,IAH,LAX,4,11.0
26,1,107.0,130,SEA,FAI,4,25.0
27,1,127.0,597,FLL,MSP,4,14.0
28,1,110.0,413,CLT,LAS,4,12.0
29,1,141.0,2392,MIA,DEN,4,12.0
30,1,237.0,168,ORD,PHX,4,9.0
31,1,116.0,2211,MIA,PHX,4,10.0
32,1,0.0,136,SEA,ANC,4,0.0
33,1,134.0,95,ATL,SLC,4,43.0
34,1,140.0,298,IAH,LAS,4,10.0
35,1,145.0,17,HNL,LAS,4,16.0
36,1,143.0,617,PHX,ANC,4,21.0
37,1,157.0,1528,EWR,SJU,4,12.0
38,1,140.0,134,SEA,ANC,4,17.0
39,1,153.0,304,JFK,SJU,4,12.0
40,1,139.0,451,FLL,PBG,4,10.0
41,1,158.0,972,DFW,PHX,4,11.0
42,1,0.0,2459,DFW,PHX,4,0.0
43,1,150.0,144,PDX,ANC,4,24.0
44,1,155.0,647,FLL,IAG,4,21.0
45,1,152.0,1990,EWR,SJU,4,19.0
46,1,209.0,699,CLT,PHX,4,10.0
47,1,209.0,114,SEA,ANC,4,15.0
48,1,248.0,668,MCO,PSE,4,10.0
49,1,258.0,1162,EWR,BQN,4,14.0
50,1,304.0,1030,MCO,BQN,4,25.0
51,1,316.0,262,BOS,SJU,4,14.0
52,1,535.0,2134,MCO,SJU,4,9.0
53,1,423.0,730,MCO,BQN,4,11.0
54,1,413.0,768,MCO,PSE,4,24.0
55,1,550.0,2276,BDL,SJU,4,15.0
56,1,459.0,602,PHX,ORD,4,12.0
57,1,456.0,695,SEA,GEG,4,22.0
